Pair,Procedure,prime_word,target_word,word2veccosine,LSA,Undirected,newdirected,pathlength,UPMFG_Cat,ACN_0.1,ACN.r.cat,zRTTarget_trim,mean_len_c,mean_logf_c,mean_ldtz_c,mean_conc_c,directedcollapsed,undirectedfac,kenettfac,directedfac,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,dijkstra_28,dijkstra_29,dijkstra_30,dijkstra_31,dijkstra_32,dijkstra_33,dijkstra_34,dijkstra_35,decay_28
SELLER-OWNER,S2,SELLER,OWNER,0.319358937,0.23,1,4,1,1,1,5,-0.032171817,-1.572806821,-1.010933083,0.29197201,-0.063880644,4,1,1,4,1,1,1,1,2,2,2,2,0.680641045,0.680641045,0.680641045,0.680641045,0.897676865,0.897676865,0.897676865,0.897676865,0.680641045
SERPENT-SUEDE,S2,SERPENT,SUEDE,0.119343667,-0.09,4,4,2,4,2,3,0.218105861,-0.072806821,-1.354433083,0.27347201,0.866119356,4,4,2,4,2,2,2,2,2,2,3,3,1.292535586,1.292535586,1.292535586,1.314762544,1.314762544,1.314910389,1.590177469,1.590177469,1.352712902
SEX-GENDER,S2,SEX,GENDER,0.457137405,0.67,1,1,1,1,1,5,-0.586879168,-1.572806821,1.554066917,-0.22602799,-0.023880644,1,1,1,1,1,1,1,1,1,1,1,1,1.119630947,1.119630947,1.119630947,1.119630947,1.119630947,1.119630947,1.119630947,1.119630947,1.171480137
SHATTER-IMPACT,S2,SHATTER,IMPACT,0.112025416,0.07,3,5,2,5,2,3,-0.407628425,-0.572806821,-0.113433083,0.11047201,-0.463880644,5,3,2,5,2,2,2,2,2,2,2,2,1.197040496,1.197040496,1.197040496,1.197040496,1.197040496,1.197040496,1.197040496,1.197040496,1.256029325
SHE-CHILDREN,S1,SHE,CHILDREN,0.300733703,0.18,3,4,3,5,2,3,-0.779683413,-0.572806821,3.640566917,-0.18352799,0.386119356,4,3,3,4,1,1,1,2,2,2,2,2,0.699266189,0.699266189,0.699266189,0.902161433,0.902161433,0.902161433,0.902161433,0.902161433,0.699266189
SHEEP-BUCK,S2,SHEEP,BUCK,0.250219586,0.15,2,3,2,3,2,4,-0.309490917,-1.572806821,-0.275433083,0.25497201,1.046119356,3,2,2,3,2,2,2,2,2,2,2,2,1.088980463,1.088980463,1.088980463,1.129686308,1.129686308,1.129686308,1.129686308,1.129686308,1.15869603
SHIP-COVERED,S1,SHIP,COVERED,-0.01026607,0.07,3,5,6,2,3,1,0.786368861,-0.572806821,1.847566917,-0.13052799,0.401119356,5,3,6,5,3,4,4,4,4,4,4,6,1.993798341,2.315783355,2.421309485,2.421309485,2.421309485,2.484971446,2.564587606,3.24590251,2.212528453
SHIRT-VEST,S1,SHIRT,VEST,0.406098329,0.59,1,2,1,4,1,5,-0.870817459,-1.572806821,-0.581433083,-0.13002799,0.991119356,2,1,1,2,1,1,1,1,1,1,1,1,0.593901396,0.593901396,0.593901396,0.593901396,0.593901396,0.593901396,0.593901396,0.593901396,0.593901396
SHOE-LAP,S2,SHOE,LAP,0.091676439,0.23,3,4,15,5,2,2,-0.499281296,-1.072806821,0.213566917,-0.26752799,0.801119356,4,3,15,4,2,2,2,2,2,2,2,2,1.261641056,1.261641056,1.261641056,1.261641056,1.261641056,1.261641056,1.261641056,1.261641056,1.326089992
SHOOTING-TRIGGER,S2,SHOOTING,TRIGGER,0.046558676,0.24,2,2,1,1,1,5,0.138306359,1.427193179,0.629566917,-0.16702799,0.341119356,2,2,1,2,3,3,3,4,4,4,5,5,1.86056125,1.86056125,2.198083012,2.198083012,2.439280586,2.439280586,2.445629847,2.800612115,2.070866155
SIBLING-BELONG,S1,SIBLING,BELONG,0.042866826,0.11,3,4,4,4,2,1,-0.125936527,0.427193179,-0.507933083,-0.00502799,-0.838880644,4,3,4,4,3,3,3,3,3,3,4,4,1.912102342,1.912102342,1.958738094,1.958738094,1.958738094,1.958738094,2.187621896,2.187621896,2.110622248
SICK-STEEL,S2,SICK,STEEL,0.055548772,0.03,2,4,6,3,2,3,0.274699879,0.427193179,-0.076933083,-0.22102799,0.181119356,4,2,6,4,3,3,3,4,4,4,4,4,1.881435741,1.881435741,1.881435741,2.214688856,2.214688856,2.214688856,2.306660121,2.306660121,2.059924901
SIDEWALK-CORK,S2,SIDEWALK,CORK,0.031209186,0.04,3,4,15,5,3,3,0.630265284,-0.072806821,-1.367433083,-0.08552799,1.171119356,4,3,15,4,2,2,2,3,3,3,3,3,1.349904885,1.349904885,1.371270342,1.499835199,1.543969844,1.543969844,1.543969844,1.543969844,1.414168495
SILVERWARE-MAYBE,S1,SILVERWARE,MAYBE,0.114210458,0.09,4,5,15,3,3,1,0.027944811,1.427193179,0.113566917,0.13647201,-0.648880644,5,4,15,5,2,2,3,3,3,3,4,4,1.922756999,1.922756999,1.922756999,1.922756999,1.976965586,2.322017373,2.322017373,2.406471354,2.109430213
SINCE-MEASURE,S1,SINCE,MEASURE,0.079285621,0.19,2,4,15,4,3,3,-0.33686022,-0.072806821,2.639566917,-0.05502799,-1.253880644,4,2,15,4,3,3,3,4,4,4,4,4,2.023345546,2.023345546,2.023345546,2.381970496,2.381970496,2.424554615,2.424554615,2.424554615,2.239622158
SLAY-NUCLEAR,S2,SLAY,NUCLEAR,0.019705938,0,3,3,3,3,2,3,-0.600675701,-0.572806821,-0.546933083,0.06447201,-0.703880644,3,3,3,3,3,3,3,4,4,4,4,4,1.961048994,2.065038064,2.065038064,2.355334011,2.443402956,2.443402956,2.488304472,2.488304472,2.159158378
SLEEPY-NEW,S2,SLEEPY,NEW,0.109878206,0.12,3,4,3,5,2,3,-0.016014671,0.427193179,-0.596933083,-0.04502799,-0.948880644,4,3,3,4,3,3,3,3,4,4,4,4,1.860366487,1.860366487,1.860366487,1.897087994,2.157607166,2.157607166,2.157607166,2.157607166,2.046360542
SLEEVE-WARDROBE,S1,SLEEVE,WARDROBE,0.256625809,0.18,2,2,1,1,1,5,-0.22661597,0.927193179,-1.108933083,0.11347201,1.016119356,2,2,1,2,2,2,2,2,2,2,2,2,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.141075835
SLIMY-BROOM,S1,SLIMY,BROOM,0.222618111,0.11,3,4,3,1,2,2,-0.159887443,-1.072806821,-1.889933083,0.18447201,0.336119356,4,3,3,4,2,2,2,2,2,2,2,2,1.146058988,1.197197292,1.197197292,1.197197292,1.197197292,1.197197292,1.197197292,1.197197292,1.189387299
SLOW-DART,S1,SLOW,DART,0.126043063,0.1,2,6,3,4,2,4,-0.072292199,-2.072806821,0.403066917,-0.22852799,0.351119356,H,2,3,6,2,2,2,2,3,3,3,3,1.351179613,1.351179613,1.351179613,1.351179613,1.754125699,1.754125699,1.785588142,1.785588142,1.420023667
SMALL-ATTENDANCE,S1,SMALL,ATTENDANCE,0.027817555,0.12,2,8,6,5,2,2,0.125612541,1.427193179,1.379066917,-0.12602799,-0.593880644,H,2,6,8,3,3,3,3,3,5,5,5,2.027721934,2.092799768,2.13194314,2.156427943,2.156427943,2.792538212,2.816880052,2.816880052,2.233508636
SMOKING-ASHTRAY,S1,SMOKING,ASHTRAY,0.409083174,0.49,1,1,1,4,1,5,-0.251105126,0.927193179,-1.322433083,0.05247201,0.906119356,1,1,1,1,1,1,1,1,1,1,1,1,0.590916823,0.590916823,0.590916823,0.590916823,0.590916823,0.590916823,0.590916823,0.590916823,0.590916823
SNACK-SPIN,S1,SNACK,SPIN,0.063121586,0.07,3,4,6,3,3,1,-0.273456763,-1.572806821,-0.296933083,-0.20802799,0.391119356,4,3,6,4,3,3,3,3,3,3,4,4,1.821257355,1.821257355,1.821257355,1.821257355,1.821257355,1.821257355,2.137598644,2.137598644,2.025216586
SNEAKER-SURF,S2,SNEAKER,SURF,0.278610627,0.08,3,4,4,5,2,3,-0.359591629,-0.572806821,-1.602433083,-0.05152799,0.891119356,4,3,4,4,3,3,3,3,3,3,3,4,1.73935036,1.73935036,1.73935036,1.73935036,1.81563814,1.81563814,1.81563814,2.417632466,1.907735012
SNORKEL-DOWNSTREAM,S1,SNORKEL,DOWNSTREAM,0.160708217,0.26,2,8,3,1,1,4,0.717946068,2.427193179,-2.413933083,0.35247201,0.636119356,H,2,3,8,2,2,2,2,2,2,2,2,1.179707986,1.179707986,1.201660516,1.201660516,1.201660516,1.201660516,1.201660516,1.201660516,1.2276068
SOAK-BAY,S2,SOAK,BAY,0.152281681,-0.01,2,5,3,2,2,3,-0.267361563,-2.572806821,0.381566917,0.02947201,0.771119356,5,2,3,5,2,2,3,3,3,3,4,4,1.386017627,1.386017627,1.803225107,1.803225107,1.900970945,2.206830587,2.206830587,2.206830587,1.456116695
SON-KIDS,S2,SON,KIDS,0.408323571,0.08,3,4,2,1,2,2,-0.836275954,-3.072806821,1.672566917,-0.35402799,0.636119356,4,3,2,4,1,1,1,1,1,1,1,1,0.591676364,0.591676364,0.591676364,0.591676364,0.591676364,0.591676364,0.591676364,0.591676364,0.591676364
SPACE-GALAXY,S1,SPACE,GALAXY,0.229618045,0.39,1,2,2,1,2,3,0.080691685,-0.572806821,1.741566917,-0.24602799,-0.138880644,2,1,2,2,2,2,2,2,4,5,5,5,1.004645592,2.554434055,2.590416366,2.590416366,3.210731888,3.524205877,3.590182506,3.590182506,1.036143689
SPATULA-ROOT,S1,SPATULA,ROOT,0.049682753,0.07,2,3,4,2,2,4,-0.053933638,-0.572806821,-0.384433083,0.07947201,0.911119356,3,2,4,3,3,3,3,3,3,3,3,4,1.686797746,1.801203123,1.801203123,1.801203123,1.801203123,1.801203123,1.879511971,2.187584603,1.895294767
SPEAKER-FRIGID,S1,SPEAKER,FRIGID,-0.038040698,0.09,3,4,15,5,3,2,1.150496494,0.427193179,-0.943433083,0.05097201,0.246119356,4,3,15,4,3,3,3,4,4,4,4,5,2.023617882,2.023617882,2.023617882,2.366887643,2.499904605,2.524665259,2.594049366,2.695628954,2.23772592
SPIN-SNACK,S2,SPIN,SNACK,0.063121586,0.07,3,4,6,3,3,1,-0.378964188,-1.572806821,-0.296933083,-0.20802799,0.391119356,4,3,6,4,3,3,3,3,3,3,4,4,1.821257355,1.821257355,1.821257355,1.821257355,1.821257355,1.821257355,2.137598644,2.137598644,1.993434654
SPLINTER-BOXING,S2,SPLINTER,BOXING,-0.021940736,0.07,2,5,3,4,2,4,-0.041957111,0.927193179,-1.521433083,-0.10302799,0.741119356,5,2,3,5,4,4,4,4,5,5,5,5,2.185619463,2.185619463,2.185619463,2.776768038,2.820157888,2.842196332,2.875646914,2.875646914,2.46796583
SPONGE-FINAL,S2,SPONGE,FINAL,-0.004663988,0.04,4,5,6,4,2,2,-0.302828516,-0.572806821,0.443066917,-0.07452799,0.096119356,5,4,6,5,3,3,3,3,4,4,4,5,1.957716028,1.957716028,1.957716028,1.957716028,2.429215379,2.574063417,2.574063417,2.760166623,2.161532098
SPREE-SWEET,S2,SPREE,SWEET,0.018856192,0.02,2,2,15,5,2,4,-0.444113907,-1.072806821,-0.681433083,0.05447201,-0.278880644,2,2,15,2,3,3,3,3,3,4,5,5,1.892312997,1.892312997,1.892312997,2.551314637,2.955202312,2.955202312,2.955202312,2.955202312,2.079920783
START-BEGIN,S2,START,BEGIN,0.685394808,0.58,1,1,1,1,1,5,-0.734356788,-1.072806821,2.892066917,-0.36102799,-1.103880644,1,1,1,1,1,1,1,1,1,1,1,1,0.314604976,0.314604976,0.314604976,0.314604976,0.314604976,0.314604976,0.314604976,0.314604976,0.314604976
STEEL-SICK,S1,STEEL,SICK,0.055548772,0.03,2,2,6,3,2,3,0.107991875,-1.572806821,1.267566917,-0.36252799,0.181119356,2,2,6,2,3,3,3,4,4,4,4,4,1.84124202,1.881435741,1.881435741,2.229016379,2.229016379,2.229016379,2.306660121,2.306660121,2.038117068
STEPS-TIDE,S1,STEPS,TIDE,0.093763895,0.02,3,5,6,4,2,2,-0.324761248,-1.572806821,0.426566917,-0.13702799,0.506119356,5,3,6,5,3,4,4,4,4,4,4,5,1.701707296,2.406050619,2.406050619,2.437614523,3.099871269,3.660989234,3.663747744,N/A,1.91603627
STINGY-ARGUE,S2,STINGY,ARGUE,0.16087243,0.09,3,4,6,4,2,2,-0.043013632,-0.572806821,-0.788433083,0.06947201,-1.363880644,4,3,6,4,2,2,3,3,3,3,4,4,1.384941711,1.384941711,1.675542497,1.675542497,1.675542497,1.848483194,2.153095529,2.153095529,1.455816458
STOCKING-HEADBAND,S2,STOCKING,HEADBAND,0.109022711,0.1,3,7,2,4,2,2,0.149690472,1.927193179,-2.492433083,0.01597201,1.191119356,H,3,2,7,2,2,2,2,2,3,4,4,1.263738159,1.263738159,1.263738159,1.263738159,1.263738159,1.811751358,2.288471274,2.288471274,1.322278308
STREAM-OCEAN,S2,STREAM,OCEAN,0.222781915,0.25,2,2,4,1,1,4,-0.829198985,-1.072806821,-1.086933083,0.32197201,0.941119356,2,2,4,2,2,2,2,2,2,2,2,2,1.893993494,2.666225404,2.666225404,2.835540196,2.835540196,2.835540196,2.835540196,3.403344199,2.068758615
STRIVE-FOOLISH,S1,STRIVE,FOOLISH,0.098532536,0.12,3,5,6,3,3,1,-0.190218243,0.427193179,-0.428933083,-0.17702799,-1.783880644,5,3,6,5,2,2,2,2,2,2,3,3,1.235881421,1.235881421,1.288313666,1.288313666,1.288313666,1.288313666,1.415760948,1.415760948,1.30662306
SUEDE-SERPENT,S1,SUEDE,SERPENT,0.119343667,-0.09,4,4,2,4,2,3,0.712162542,-0.072806821,-1.071433083,0.26247201,0.866119356,4,4,2,4,2,2,2,2,2,2,3,3,1.292535586,1.292535586,1.292535586,1.314762544,1.314762544,1.314910389,1.590177469,1.590177469,1.361611828
SUPER-TINY,S1,SUPER,TINY,0.203377137,0.12,2,3,1,3,1,4,-0.327601582,-1.572806821,1.312066917,-0.14302799,-1.233880644,3,2,1,3,2,2,2,2,3,3,3,3,1.332879463,1.332879463,1.332879463,1.332879463,1.677421378,1.677421378,1.677421378,1.677421378,1.401650338
SURF-SNEAKER,S1,SURF,SNEAKER,0.278610627,0.08,3,4,4,5,2,3,0.301688047,-0.572806821,-1.602433083,-0.05152799,0.891119356,4,3,4,4,3,3,3,3,3,3,3,4,1.73935036,1.73935036,1.73935036,1.73935036,1.81563814,1.81563814,1.907562405,2.660950176,1.929416398
SURVEY-SEA,S2,SURVEY,SEA,0.115551587,0.02,3,3,15,4,3,1,-0.738594381,-1.572806821,1.614066917,-0.31402799,0.696119356,3,3,15,3,4,4,4,4,4,4,4,4,2.278007694,2.316846705,2.316846705,2.318510003,2.406267245,2.459713999,2.476763362,2.476763362,2.568028565
SWEET-SPREE,S1,SWEET,SPREE,0.018856192,0.02,2,5,15,5,2,4,0.995776574,-1.072806821,-0.681433083,0.05447201,-0.278880644,5,2,15,5,3,3,3,3,3,4,5,5,1.892312997,1.892312997,1.892312997,1.914404412,1.914404412,2.543870447,2.955202312,2.955202312,2.096251889
TEAPOT-APPLIANCE,S1,TEAPOT,APPLIANCE,0.174023385,0.03,2,2,4,3,1,4,0.333620044,1.427193179,-2.402433083,0.05597201,1.026119356,2,2,4,2,2,2,2,2,2,2,2,2,1.1714104,1.1714104,1.1714104,1.1714104,1.1714104,1.1714104,1.1714104,1.1714104,1.228684326
TELLER-NINE,S1,TELLER,NINE,-0.011192478,0.05,3,4,6,4,2,3,0.178053272,-1.072806821,-0.272433083,-0.24002799,0.471119356,4,3,6,4,3,3,3,3,3,4,4,4,1.84039676,1.84039676,2.004187458,2.084019315,2.084019315,2.455769957,2.463690582,2.463690582,2.031342538
TERROR-HINGE,S2,TERROR,HINGE,0.084474529,0.03,3,4,4,5,3,3,0.862281149,0.427193179,0.549066917,-0.14502799,-0.238880644,4,3,4,4,4,4,4,4,4,4,4,4,2.459078547,2.459078547,2.459078547,2.459078547,2.459078547,2.459078547,2.459078547,2.459078547,2.849867487
TEST-FLUNK,S1,TEST,FLUNK,0.385581165,0.41,2,2,1,2,1,5,-0.775616017,-1.572806821,-0.078433083,-0.12802799,-0.573880644,2,2,1,2,2,2,2,3,3,3,3,4,1.892512708,1.892512708,1.906822047,1.906822047,1.949048592,1.949048592,1.949048592,2.446694184,2.09989374
THERMOMETER-WARMTH,S2,THERMOMETER,WARMTH,0.25552746,0.12,2,4,3,2,1,5,0.450753477,2.427193179,-1.460933083,0.09947201,0.436119356,4,2,3,4,2,2,2,2,2,2,2,2,1.038463307,1.038463307,1.038463307,1.038463307,1.038463307,1.038463307,1.038463307,1.198275428,1.103631253
THINK-NEWS,S2,THINK,NEWS,0.128014534,0.12,3,3,6,5,2,1,-0.346991201,-2.072806821,4.785566917,-0.22152799,-0.828880644,3,3,6,3,2,3,3,3,3,3,3,3,1.296663007,1.801583997,1.808732811,1.808732811,1.814790677,1.837097142,1.93386985,2.318215935,1.368426771
THRIFT-UNION,S2,THRIFT,UNION,0.111604406,0.19,3,4,6,2,2,1,0.143509925,-0.572806821,-0.268433083,0.04697201,-0.868880644,4,3,6,4,3,3,3,3,4,4,4,4,2.010288246,2.010288246,2.010288246,2.010288246,2.422395645,2.735126873,2.735126873,2.735126873,2.213696654
TICKLE-CRY,S2,TICKLE,CRY,0.22664147,0.28,2,2,3,4,1,4,-0.819783853,-0.572806821,-1.173933083,0.01347201,0.186119356,2,2,3,2,2,2,2,2,2,2,2,2,1.084670422,1.084670422,1.084670422,1.084670422,1.084670422,1.084670422,1.084670422,1.150654179,1.127481114
TIDE-STEPS,S2,TIDE,STEPS,0.093763895,0.02,3,6,6,4,2,2,-0.040518504,-1.572806821,0.426566917,-0.13702799,0.506119356,H,3,6,6,3,4,4,4,4,4,4,5,1.701707296,2.236630913,2.273042116,2.381278779,2.498492711,2.498492711,2.498492711,2.985595274,1.838322761
TIGER-PUFF,S1,TIGER,PUFF,0.081728942,0.24,2,5,2,5,2,3,0.171898057,-1.572806821,-0.804933083,-0.16752799,0.501119356,5,2,2,5,3,3,3,3,3,3,3,4,1.783661555,1.783661555,1.783661555,1.783661555,1.783661555,1.795019151,1.874198501,2.188224393,1.990203366
TINY-SUPER,S2,TINY,SUPER,0.203377137,0.12,2,4,1,3,1,4,-0.595007623,-1.572806821,1.312066917,-0.14302799,-1.233880644,4,2,1,4,2,2,2,2,3,3,3,3,1.332879463,1.332879463,1.332879463,1.332879463,1.616633914,1.616633914,1.778383308,1.833325671,1.397396535
TONIC-POCKET,S1,TONIC,POCKET,0.009001214,0.09,3,4,6,3,3,1,-0.382650609,-0.572806821,-0.884933083,-0.12152799,0.651119356,4,3,6,4,2,2,3,3,3,3,3,3,1.370178997,1.370178997,1.720494543,1.720494543,1.720494543,1.720494543,1.827724639,1.827724639,1.4404207
TOOL-BUILDER,S2,TOOL,BUILDER,0.094677921,0.17,2,4,3,5,2,4,-0.316178351,-0.572806821,0.696566917,-0.16152799,0.546119356,4,2,3,4,3,3,3,3,3,3,3,4,1.882388093,1.882388093,1.882388093,1.882388093,1.882388093,1.913853584,1.913853584,2.109990882,2.071224953
TOPIC-ISSUE,S2,TOPIC,ISSUE,0.552595371,0.11,1,1,1,1,1,5,-0.07488895,-1.072806821,2.418066917,-0.12952799,-1.258880644,1,1,1,1,1,1,1,1,1,1,1,1,0.447404303,0.447404303,0.447404303,0.447404303,0.447404303,0.447404303,0.447404303,0.447404303,0.447404303
TOWER-VERDICT,S2,TOWER,VERDICT,0.049711837,0.01,3,4,15,2,3,1,0.499611468,-0.072806821,0.129566917,-0.00302799,-0.263880644,4,3,15,4,4,4,4,4,4,5,5,5,2.415583096,2.415583096,2.486502731,2.486502731,2.486502731,2.949041913,2.949041913,2.949041913,2.814302732
TRAGEDY-REMORSE,S2,TRAGEDY,REMORSE,0.281491314,0.26,2,4,1,2,1,5,0.261509452,0.927193179,-1.245433083,0.07647201,-1.703880644,4,2,1,4,1,2,2,2,2,2,2,2,0.718508664,0.891414641,0.891414641,0.891414641,0.891414641,0.891414641,0.891414641,0.891414641,0.718508664
TRANQUIL-COMFORT,S1,TRANQUIL,COMFORT,0.21991573,0.32,3,3,4,3,2,1,-0.44606041,1.427193179,-1.499433083,0.00147201,-1.343880644,3,3,4,3,2,2,2,2,2,2,3,3,1.120208001,1.120208001,1.260091295,1.382113553,1.382113553,1.382113553,1.382113553,1.382113553,1.190382224
TREASON-DETECTIVE,S1,TREASON,DETECTIVE,0.079190489,0.19,2,2,2,1,1,4,0.119448717,1.927193179,-0.767433083,0.21397201,-0.618880644,2,2,2,2,2,2,2,2,2,2,2,2,1.21260461,1.21260461,1.21260461,1.21260461,1.21260461,1.21260461,1.21260461,1.21260461,1.269149344
TRICYCLE-PASS,S2,TRICYCLE,PASS,0.098186833,0,3,4,6,5,2,2,-0.20533085,1.427193179,-1.977933083,0.35097201,-0.043880644,4,3,6,4,3,3,4,4,4,4,4,4,1.925872093,1.925872093,2.225845895,2.225845895,2.225845895,2.225845895,2.225845895,2.225845895,2.112498962
TRIGGER-SHOOTING,S1,TRIGGER,SHOOTING,0.046558676,0.24,2,4,1,1,1,5,-0.653833241,1.427193179,0.629566917,-0.16702799,0.341119356,4,2,1,4,3,3,3,4,4,4,5,5,1.588192627,1.588192627,1.706066835,2.307070498,2.502289705,2.67658171,2.67658171,2.802868675,1.716593221
TRUCK-HIGH,S1,TRUCK,HIGH,0.037095224,0.11,2,3,3,4,2,2,-0.197275872,-1.572806821,2.035566917,-0.43002799,0.411119356,3,2,3,3,3,3,3,3,4,5,5,5,1.978762612,1.978762612,1.978762612,1.978762612,2.384465035,2.616816865,2.616816865,2.616816865,2.187582224
TRUTHFUL-EXPRESS,S1,TRUTHFUL,EXPRESS,0.153335603,0.16,3,5,4,2,2,3,-0.015758456,1.427193179,-0.028933083,-0.05802799,-1.683880644,5,3,4,5,2,2,2,2,2,2,2,2,1.121265356,1.121265356,1.121265356,1.121265356,1.121265356,1.121265356,1.121265356,1.121265356,1.184673229
TUG-CHIPMUNK,S2,TUG,CHIPMUNK,0.106194731,0.08,4,5,15,4,3,3,-0.025024139,-0.572806821,-2.426433083,0.08447201,0.496119356,5,4,15,5,3,3,3,4,4,4,4,4,1.951698177,2.047633445,2.576662398,2.576662398,2.641310237,2.86151359,2.863876763,2.883770372,2.136135184
TULIP-FARMER,S1,TULIP,FARMER,0.260313982,0.13,3,5,4,2,2,1,-0.3045417,-0.572806821,-1.329433083,-0.03152799,1.031119356,5,3,4,5,2,2,2,2,2,2,2,2,1.030712197,1.030712197,1.030712197,1.055003118,1.055003118,1.055003118,1.055003118,1.055003118,1.097269002
UNICORN-ELK,S2,UNICORN,ELK,0.27126592,-0.03,2,4,1,5,1,4,-0.439533922,-1.072806821,-1.019433083,0.13047201,0.536119356,4,2,1,4,2,2,2,2,2,2,2,2,0.897367761,0.937787801,0.937787801,0.937787801,0.937787801,0.937787801,0.937787801,0.937787801,0.915276248
UNION-THRIFT,S1,UNION,THRIFT,0.111604406,0.19,3,4,6,2,2,1,1.284764027,-0.572806821,-0.268433083,0.04697201,-0.868880644,4,3,6,4,3,3,3,3,4,4,4,4,2.010288246,2.010288246,2.010288246,2.010288246,2.287373658,2.295687535,2.295687535,2.295687535,2.222310488
UNUSED-ELIMINATION,S2,UNUSED,ELIMINATION,0.113883875,0.14,3,6,15,5,2,1,0.950458026,-0.072806821,0.914066917,0.19397201,-1.413880644,H,3,15,6,3,3,3,4,4,5,5,5,2.074439935,2.074439935,2.074439935,2.845309435,3.033631363,3.101135856,3.101135856,3.396257312,2.289309883
UPSET-APATHETIC,S2,UPSET,APATHETIC,0.326290505,0.27,2,5,4,4,2,4,0.824462904,0.927193179,-0.904433083,0.30947201,-1.723880644,5,2,4,5,1,1,1,1,1,2,2,2,0.673709339,0.673709339,0.673709339,0.673709339,0.673709339,0.919279488,0.919279488,0.919279488,0.673709339
VEER-INTERSTATE,S2,VEER,INTERSTATE,0.150738423,0.03,2,2,4,1,1,5,0.749837526,0.427193179,-1.483933083,0.44547201,-0.178880644,2,2,4,2,3,3,3,3,3,3,3,4,1.757372919,1.757372919,1.757372919,1.757372919,2.269190332,2.269190332,2.478356393,2.773645556,1.930355735
VERDICT-TOWER,S1,VERDICT,TOWER,0.049711837,0.01,3,5,15,2,3,1,-0.047582478,-0.072806821,0.129566917,-0.00302799,-0.263880644,5,3,15,5,4,4,4,4,4,5,5,5,2.339734853,2.339734853,2.339734853,2.339734853,2.776650298,2.776650298,2.776650298,2.776650298,2.748094286
VEST-SHIRT,S2,VEST,SHIRT,0.406098329,0.59,1,1,1,4,1,5,-0.188601758,-1.572806821,-0.581433083,-0.13002799,0.991119356,1,1,1,1,1,1,1,1,1,1,1,1,0.770648008,0.770648008,0.770648008,0.770648008,0.770648008,0.770648008,0.770648008,0.770648008,0.80445656
VICTIM-ALUMINUM,S2,VICTIM,ALUMINUM,0.05877315,-0.05,4,5,3,3,2,2,1.155793613,0.927193179,0.416566917,0.18497201,0.496119356,5,4,3,5,3,3,3,4,4,4,4,4,1.924279483,1.924279483,2.033993031,2.178856326,2.179773513,2.179773513,2.204568292,2.320507614,2.117824095
VIOLENCE-MAFIA,S2,VIOLENCE,MAFIA,0.227550091,0.09,2,3,2,1,1,5,-0.051190008,0.427193179,1.709566917,-0.17102799,-0.373880644,3,2,2,3,2,2,2,2,2,2,2,2,1.055579858,1.055579858,1.139224324,1.139224324,1.139224324,1.139224324,1.139224324,1.348399716,1.093402559
VIRUS-BACTERIA,S2,VIRUS,BACTERIA,0.539370782,0.69,1,1,1,5,1,5,-0.479992803,0.427193179,0.627066917,-0.07402799,0.071119356,1,1,1,1,1,1,1,1,1,1,1,1,0.460628963,0.460628963,0.460628963,0.460628963,0.460628963,0.460628963,0.460628963,0.460628963,0.460628963
VOICE-MARROW,S2,VOICE,MARROW,0.103999129,0.04,3,4,2,4,2,3,0.99859418,-1.072806821,1.168066917,-0.14152799,0.566119356,4,3,2,4,3,3,3,3,3,3,4,4,1.924101261,2.069582469,2.211213549,2.211213549,2.211213549,2.211213549,2.211213549,2.628844074,2.116701234
VOLCANO-OFTEN,S2,VOLCANO,OFTEN,0.002784112,0.05,4,5,15,4,3,2,0.12091215,-1.072806821,0.217066917,-0.06702799,-0.113880644,5,4,15,5,3,3,4,4,4,4,5,5,2.04943145,2.04943145,2.184245383,2.184245383,2.184245383,2.66254346,2.679448293,2.788464016,2.261116973
VULNERABLE-MEEK,S1,VULNERABLE,MEEK,0.210435556,0.04,1,1,2,5,1,4,-0.42760885,0.927193179,-0.836433083,0.24447201,-1.628880644,1,1,2,1,2,2,2,2,2,2,2,3,1.058368363,1.058368363,1.058368363,1.268735368,1.268735368,1.268735368,1.268735368,1.45955807,1.094701319
WAGE-ABDUCT,S2,WAGE,ABDUCT,0.08222691,0.01,3,6,4,4,3,3,0.365867479,-1.072806821,-1.440433083,0.22947201,-0.403880644,H,3,4,6,3,3,3,3,3,3,3,4,1.733282464,1.733282464,1.861609241,1.861609241,1.861609241,1.861609241,1.861609241,2.176664616,1.940378293
WARDROBE-SLEEVE,S2,WARDROBE,SLEEVE,0.256625809,0.18,2,2,1,1,1,5,-0.378125937,0.927193179,-1.108933083,0.11347201,1.016119356,2,2,1,2,2,2,2,2,2,2,2,2,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.085371757,1.138204854
WARMTH-THERMOMETER,S1,WARMTH,THERMOMETER,0.25552746,0.12,2,3,3,2,1,5,0.489738145,2.427193179,-1.460933083,0.09947201,0.436119356,3,2,3,3,2,2,2,2,2,2,2,2,1.038463307,1.038463307,1.038463307,1.038463307,1.038463307,1.038463307,1.038463307,1.198275428,1.077141692
