Pair,Procedure,prime_word,target_word,word2veccosine,LSA,Undirected,newdirected,pathlength,UPMFG_Cat,ACN_0.1,ACN.r.cat,zRTTarget_trim,mean_len_c,mean_logf_c,mean_ldtz_c,mean_conc_c,directedcollapsed,undirectedfac,kenettfac,directedfac,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,dijkstra_28,dijkstra_29,dijkstra_30,dijkstra_31,dijkstra_32,dijkstra_33,dijkstra_34,dijkstra_35,decay_28
PARAGRAPH-NOTEBOOK,S2,PARAGRAPH,NOTEBOOK,0.119714037,0.06,2,4,2,4,1,4,-0.575944608,-0.072806821,0.635066917,-0.02902799,0.701119356,4,2,2,4,2,3,3,3,3,3,3,3,1.415881355,1.800058203,1.800058203,1.800058203,1.800058203,1.800058203,1.800058203,1.800058203,1.48601117
PASS-TRICYCLE,S1,PASS,TRICYCLE,0.098186833,0,3,3,6,5,2,2,0.634691953,-0.072806821,-0.721433083,0.01297201,-0.043880644,3,3,6,3,3,3,4,4,4,4,4,4,1.925872093,2.222912946,2.222912946,2.222912946,2.225845895,2.225845895,2.225845895,2.30049148,2.1373924
PEBBLE-BOND,S2,PEBBLE,BOND,0.039904032,0.04,3,5,3,4,2,3,0.02211496,-2.072806821,0.824066917,-0.18502799,0.501119356,5,3,3,5,3,4,4,4,5,5,5,5,2.042932879,2.394121059,2.538642587,2.694131984,2.799056162,2.93639123,2.93639123,2.93639123,2.262611477
PENNY-HOBO,S1,PENNY,HOBO,0.199649773,0.09,3,5,6,4,2,3,0.386492477,-1.572806821,-1.775433083,0.19597201,0.736119356,5,3,6,5,3,3,3,4,4,4,4,4,1.972060352,1.972060352,2.015932337,2.294685946,2.391783703,2.490190603,2.518164688,2.518164688,2.174871306
PERFORMANCE-AUDIENCE,S1,PERFORMANCE,AUDIENCE,0.192757066,0.15,1,1,1,5,1,5,-0.365559158,3.427193179,1.932566917,0.11597201,-0.073880644,1,1,1,1,2,2,4,4,5,5,6,6,1.351899232,1.351899232,2.447650017,2.587435303,2.867660628,2.887500379,3.233348587,3.233348587,1.416780972
PIGEON-BLUEJAY,S2,PIGEON,BLUEJAY,0.42225841,0.02,2,2,1,1,1,5,-0.187394093,0.927193179,-1.344933083,0.03797201,1.101119356,2,2,1,2,1,1,1,1,1,1,1,1,0.577741686,0.577741686,0.577741686,0.577741686,0.577741686,0.577741686,0.577741686,0.577741686,0.577741686
PLANT-MEADOW,S2,PLANT,MEADOW,0.195211,0.17,2,5,1,1,1,5,-0.425094897,-0.572806821,-0.209433083,-0.05252799,1.071119356,5,2,1,5,2,2,2,2,2,2,2,2,1.153531098,1.153531098,1.153531098,1.153531098,1.153531098,1.153531098,1.153531098,1.207218088,1.200342854
PLAZA-GOODS,S1,PLAZA,GOODS,0.079698273,0.02,2,2,2,3,2,3,0.282407375,-1.072806821,0.390566917,-0.08152799,0.611119356,2,2,2,2,3,3,3,3,3,3,3,3,1.62911501,1.62911501,1.62911501,1.764541385,1.764541385,1.764541385,1.764541385,1.809369655,1.798754635
PLEDGE-CLOTHES,S2,PLEDGE,CLOTHES,0.075399687,0.06,2,2,15,1,3,1,-0.052478331,0.427193179,0.782566917,-0.26752799,-0.053880644,2,2,15,2,3,3,4,4,4,4,4,4,2.123444763,2.123444763,2.123444763,2.123444763,2.123444763,2.123444763,2.123909185,2.123909185,2.519722822
POCKET-TONIC,S2,POCKET,TONIC,0.009001214,0.09,3,4,6,3,3,1,0.49793711,-1.072806821,0.700066917,-0.15602799,0.651119356,4,3,6,4,2,2,3,3,3,3,3,3,1.370178997,1.370178997,1.720494543,1.720494543,1.720494543,1.720494543,1.827724639,1.827724639,1.436955194
POLYESTER-BUREAU,S2,POLYESTER,BUREAU,-0.002210386,0.01,2,5,3,3,2,3,-0.016219107,-1.572806821,0.863066917,-0.08202799,0.341119356,5,2,3,5,3,3,4,4,4,4,5,5,2.067946625,2.09454128,2.360195827,2.506282601,2.506282601,2.655923278,2.766281157,2.786411938,2.281933561
POP-DRIVER,S2,POP,DRIVER,0.028601721,0.07,3,4,15,4,2,1,-0.328358011,-1.072806821,-0.773933083,-0.11952799,0.726119356,4,3,15,4,3,3,3,3,3,3,3,4,1.881740314,1.881740314,1.881740314,1.891760145,2.164795682,2.164795682,2.164795682,2.164795682,2.073419339
POPULAR-DIGESTION,S1,POPULAR,DIGESTION,-0.050049995,-0.01,3,6,15,2,2,1,0.221539621,1.927193179,-0.139933083,-0.07902799,-0.828880644,H,3,15,6,3,3,3,4,4,4,4,4,2.015437402,2.056574028,2.056574028,2.324323881,2.324323881,2.384652932,2.396393482,2.432388754,2.222031531
PORK-CLUMSY,S2,PORK,CLUMSY,0.02267691,0.09,3,6,15,3,3,2,-0.415092504,-1.572806821,-0.286933083,-0.19252799,0.041119356,H,3,15,6,3,3,3,3,3,3,4,4,1.707168587,1.779703387,1.779703387,1.779703387,1.779703387,1.856477174,1.994614568,1.994614568,1.916465494
POT-BLOOM,S2,POT,BLOOM,0.209926718,0.12,2,2,3,3,2,4,-0.241548272,-1.072806821,-0.058433083,-0.11052799,0.666119356,2,2,3,2,2,2,2,2,2,2,2,2,1.118147064,1.118147064,1.17904501,1.17904501,1.17904501,1.17904501,1.17904501,1.25580777,1.159278866
POUND-FILE,S2,POUND,FILE,-0.067850988,0.08,3,3,4,2,2,1,0.251999326,1.427193179,2.437566917,-0.07502799,0.771119356,3,3,4,3,3,4,4,4,5,5,6,6,2.137281759,2.336191222,2.336191222,2.361064041,3.220586587,3.40133882,3.533385002,3.533385002,2.358727402
PRECISE-ANSWER,S1,PRECISE,ANSWER,0.207840143,0.13,2,2,2,3,1,4,-0.524601965,0.427193179,1.566066917,-0.10602799,-1.098880644,2,2,2,2,2,2,2,2,2,2,2,2,1.209702151,1.209702151,1.209702151,1.209702151,1.209702151,1.209702151,1.209702151,1.209702151,1.272945587
PREJUDICE-LADDER,S1,PREJUDICE,LADDER,0.085497035,0.07,3,5,15,5,3,2,-0.115003213,1.427193179,-0.328933083,0.04147201,-0.128880644,5,3,15,5,3,4,4,4,4,5,5,5,2.413424364,2.413424364,2.454225257,2.582456865,2.611879311,2.730937528,2.730937528,2.765524748,2.781283012
PRESENCE-AWFUL,S1,PRESENCE,AWFUL,-0.054658114,0.14,3,4,4,4,2,2,-0.451610417,0.427193179,0.935066917,0.03797201,-1.418880644,4,3,4,4,3,3,3,4,4,4,4,4,1.945292778,2.027915235,2.027915235,2.229941424,2.287750336,2.287750336,2.319589503,2.319589503,2.12786645
PRESIDENT-INTEGRITY,S2,PRESIDENT,INTEGRITY,0.148052235,0.11,2,3,6,4,2,3,0.27717819,2.927193179,1.360566917,0.03697201,-0.818880644,3,2,6,3,2,2,2,2,2,2,3,3,1.247375512,1.247375512,1.247375512,1.247375512,1.247375512,1.247375512,1.772721157,1.772721157,1.314159562
PRODUCTION-RIDICULOUS,S2,PRODUCTION,RIDICULOUS,0.038875321,0.02,4,6,3,5,2,1,1.012517798,2.427193179,-0.803933083,0.44447201,-1.548880644,H,4,3,6,4,4,4,4,4,4,4,4,2.432554302,2.432554302,2.432554302,2.432554302,2.432554302,2.520478323,2.698664034,2.706648614,2.803008962
PROFESSION-CONTENT,S1,PROFESSION,CONTENT,0.075451249,0.18,3,3,4,2,2,1,0.381939471,2.427193179,0.816566917,0.07097201,-1.028880644,3,3,4,3,3,3,3,3,4,4,4,4,1.916187912,1.990794376,1.990794376,1.990794376,2.524058922,2.524058922,2.568947477,2.568947477,2.137847456
PROSECUTE-LAWYER,S2,PROSECUTE,LAWYER,0.337807238,0.47,1,1,1,4,1,5,-0.872778189,1.427193179,-0.364433083,0.02297201,-0.168880644,1,1,1,1,1,1,1,1,1,1,2,2,0.794086682,0.794086682,0.794086682,0.794086682,0.794086682,0.794086682,0.794086682,1.084748825,0.812041539
PUFF-TIGER,S2,PUFF,TIGER,0.081728942,0.24,2,4,2,5,2,3,0.004441173,-1.572806821,-0.804933083,-0.16752799,0.501119356,4,2,2,4,3,3,3,3,3,3,3,4,1.783661555,1.783661555,1.783661555,1.783661555,1.783661555,1.795019151,1.874198501,2.188224393,1.945295785
PUSH-MASK,S2,PUSH,MASK,0.02964748,0.14,3,4,6,4,2,2,-0.094098499,-2.072806821,1.001066917,-0.29252799,0.846119356,4,3,6,4,3,3,3,3,3,3,3,3,1.757685072,1.757685072,1.823059664,1.823059664,1.823059664,1.823059664,1.823059664,1.823059664,1.962197785
QUARREL-COPIER,S2,QUARREL,COPIER,0.058993541,-0.06,4,6,6,3,3,3,1.23288306,0.427193179,-1.975433083,0.11347201,0.281119356,H,4,6,6,4,4,4,4,4,5,5,5,2.436890623,2.460292263,2.460292263,2.460292263,2.6269284,3.046131873,3.111784874,3.111784874,2.858042616
QUARTER-MALL,S1,QUARTER,MALL,0.058713255,0.11,2,4,6,2,2,4,-0.103857385,-0.572806821,0.518066917,-0.12602799,0.891119356,4,2,6,4,3,3,3,3,3,3,3,4,2.097723812,2.097723812,2.097723812,2.097723812,2.097723812,2.097723812,2.097723812,2.567753756,2.331222658
QUIT-BLOSSOM,S2,QUIT,BLOSSOM,0.112006223,0.11,4,4,4,5,2,1,0.269136854,-0.572806821,-0.383933083,-0.11552799,-0.328880644,4,4,4,4,2,2,2,3,3,3,3,3,1.298691466,1.298691466,1.305039842,1.666657124,1.666657124,1.666657124,1.666657124,1.666657124,1.357647113
